model,funny_or_sad,true_label,accuracy,precision,recall,f1
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,funny,2,0.605,0.4286,0.439,0.4337
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,funny,3,0.6891,0.3043,0.25,0.2745
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,funny,4,0.8487,0.5,0.0556,0.1
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,sad,overall,0.5126,0.1866,0.2194,0.1981
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,sad,1,0.5294,0.5484,0.7846,0.6456
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,sad,2,0.6807,0.3846,0.3125,0.3448
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,funny,overall,0.3445,0.1702,0.2023,0.1166
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,funny,1,0.7647,0.5,0.0357,0.0667
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,funny,2,0.3697,0.3509,0.9756,0.5161
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,funny,3,0.7395,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,sad,overall,0.5294,0.1578,0.197,0.1489
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,sad,1,0.5294,0.5391,0.9538,0.6889
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,sad,2,0.7143,0.25,0.0312,0.0556
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_with_dropout_mean_pooling_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,funny,overall,0.3866,0.2347,0.2674,0.2359
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,funny,1,0.6639,0.3421,0.4643,0.3939
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,funny,2,0.5462,0.403,0.6585,0.5
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,funny,3,0.7479,0.4286,0.2143,0.2857
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,sad,overall,0.395,0.1432,0.17,0.1551
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,sad,1,0.4958,0.5342,0.6,0.5652
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,sad,2,0.4958,0.1818,0.25,0.2105
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,sad,3,0.8739,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,funny,overall,0.3697,0.2721,0.2237,0.1553
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,funny,1,0.7815,0.75,0.1071,0.1875
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,funny,2,0.395,0.3604,0.9756,0.5263
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,funny,3,0.7479,0.25,0.0357,0.0625
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,sad,overall,0.479,0.1666,0.2039,0.1826
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,sad,1,0.5294,0.5517,0.7385,0.6316
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,sad,2,0.6134,0.2812,0.2812,0.2812
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_base_SGD_without_dropout_mean_pooling_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,funny,overall,0.2857,0.16,0.1885,0.1627
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,funny,1,0.5714,0.1714,0.2143,0.1905
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,funny,2,0.4706,0.3429,0.5854,0.4324
